GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adopet-api,br.com.alura.adopet.api.service.abrigo,AbrigoService,4,80,0,4,0,16,1,7,1,5
adopet-api,br.com.alura.adopet.api.validations,ValidacaoException,0,4,0,0,0,2,0,1,0,1
adopet-api,br.com.alura.adopet.api.service.adocao,AdocaoService,12,132,0,0,0,29,3,5,3,5
adopet-api,br.com.alura.adopet.api.handle,ResponseError,0,12,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.handle,GlobalExceptionHandle,0,29,0,0,0,5,0,3,0,3
adopet-api,br.com.alura.adopet.api.dto.abrigo.details,AbrigoDetailsDTO,0,21,0,0,0,3,0,2,0,2
adopet-api,br.com.alura.adopet.api.service.abrigo.validacoes.register,ValidacaoTelefoneJaCadastradoAbrigo,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.abrigo.validacoes.register,ValidacaoEmailJaCadastradoAbrigo,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.abrigo.validacoes.register,ValidacaoNomeJaCadastradoAbrigo,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.controller,AbrigoController,0,37,0,0,0,7,0,5,0,5
adopet-api,br.com.alura.adopet.api.controller,AdocaoController,0,24,0,0,0,7,0,4,0,4
adopet-api,br.com.alura.adopet.api.controller,PetController,0,11,0,0,0,3,0,2,0,2
adopet-api,br.com.alura.adopet.api.controller,TutorController,0,18,0,0,0,5,0,3,0,3
adopet-api,br.com.alura.adopet.api.service.tutor.validacoes.register,ValidacaoTelefoneRegistradoTutor,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.tutor.validacoes.register,ValidacaoEmailRegistradoTutor,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api,AdopetApiApplication,8,0,0,0,3,0,2,0,2,0
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.register,ValidacaoPetDisponivel,0,20,0,2,0,5,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.register,ValidacaoTutorComAdocaoEmAndamento,0,16,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.register,ValidacaoTutorLimiteAdocoes,0,20,0,2,0,5,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.register,ValidacaoPetComAdocaoEmAndamento,0,16,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.reprovar,ValidarAdocaoExisteParaReprovar,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.tutor.validacoes.atualizar,ValidacaoTutorExists,0,14,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.email,EmailService,0,24,0,0,0,8,0,2,0,2
adopet-api,br.com.alura.adopet.api.dto.tutor.atualizar,AtualizarTutorDTO,0,9,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.service.tutor,TutorService,8,34,0,0,0,9,2,3,2,3
adopet-api,br.com.alura.adopet.api.dto.pets.register,RegistroPetDTO,0,21,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.dto.pets.details,PetDetailsDTO,4,54,1,1,0,4,1,2,0,2
adopet-api,br.com.alura.adopet.api.dto.adocao,AprovacaoAdocaoDTO,0,6,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.dto.adocao,SolicitacaoAdocaoDTO,0,12,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.dto.adocao,ReprovacaoAdocaoDTO,0,9,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.service.adocao.validacoes.aprovar,ValidarAdocaoExisteParaAprovar,0,15,0,2,0,4,0,3,0,2
adopet-api,br.com.alura.adopet.api.service.pet,PetService,0,10,0,0,0,2,0,2,0,2
adopet-api,br.com.alura.adopet.api.model.enums,StatusAdocao,0,21,0,0,0,4,0,1,0,1
adopet-api,br.com.alura.adopet.api.model.enums,TipoPet,0,15,0,0,0,3,0,1,0,1
adopet-api,br.com.alura.adopet.api.dto.tutor.register,TutorRegistroDTO,0,12,0,0,0,1,0,1,0,1
adopet-api,br.com.alura.adopet.api.model,Tutor,0,38,2,6,0,10,2,4,0,2
adopet-api,br.com.alura.adopet.api.model,Abrigo,0,15,0,0,0,5,0,1,0,1
adopet-api,br.com.alura.adopet.api.model,Pet,0,35,0,0,0,9,0,1,0,1
adopet-api,br.com.alura.adopet.api.model,Adocao,0,29,0,0,0,12,0,3,0,3
adopet-api,br.com.alura.adopet.api.dto.abrigo.register,AbrigoRegisterDTO,0,12,0,0,0,1,0,1,0,1
